target_gene,rank,integrated_score,direction,peak_condition,context_specificity,causal_component,genetics_component,drug_component,novelty_component,peak_signed_score,peak_emp_z,peak_emp_fdr,peak_kd,genetics_tier,genetics_autoimmune,lof_constrained,lof_bin,ot_top_disease,ot_top_score,ot_autoimmune_disease,ot_autoimmune_score,primary_class,suggested_modality,tractability_tier,is_druggable,novelty_class,n_drugs,drug_stages,max_drug_stage,novel_priority,in_paper_noms,evidence_n,ensembl_id
ATP13A3,1421,0.20943785751430058,driver_antagonize,Rest,0.49957526,0.313052522100884,0.0,0.15,0.5,-0.46347424,-3.1460164,0.0421697473697196,-13.748651614227716,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000133657
USP22,1422,0.2092610504420177,driver_antagonize,Stim48hr,0.7515216,0.312532501300052,0.0,0.15,0.5,-0.65588063,-3.1439393,0.031184582138675036,-25.840992081721925,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000124422
FANCI,1423,0.20890743629745193,brake_agonize,Stim8hr,0.5317211,0.31149245969838796,0.0,0.15,0.5,0.5674555,3.142792,0.02120133116352333,-3.165154459364071,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000140525
PPT2,1424,0.20855382215288615,driver_antagonize,Stim8hr,0.5346281,0.31045241809672386,0.0,0.15,0.5,-0.44134906,-3.140305,0.02135845197326272,-4.814331426255033,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000221988
KPNA6,1425,0.20837701508060325,driver_antagonize,Stim48hr,0.42347842,0.30993239729589184,0.0,0.15,0.5,-0.46977112,-3.1402388,0.031428870742105826,-5.8781496018677295,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000025800
YOD1,1426,0.20820020800832034,driver_antagonize,Stim48hr,0.6963973,0.3094123764950598,0.0,0.15,0.5,-0.4365462,-3.1402016,0.031428870742105826,-7.064336252130325,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000180667
RAVER1,1427,0.20819101821105523,driver_antagonize,Stim8hr,0.7979471,0.0046801872074883,0.3453325152016974,0.15,0.5,-0.45259547,-2.723378,0.04951460630391468,-34.98704425094314,moderate,0.3453325152016974,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,2,ENSG00000161847
DUSP23,1428,0.20802340093603747,driver_antagonize,Stim8hr,0.55143046,0.3088923556942278,0.0,0.15,0.5,-0.43042472,-3.1389334,0.021434913770627225,-10.86448208479467,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000158716
MADD,1429,0.20784659386375456,driver_antagonize,Stim8hr,0.3862217,0.3083723348933957,0.0,0.15,0.5,-0.49249724,-3.137781,0.02147181304796193,-13.48247872386495,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000110514
SLC25A38,1430,0.2076697867914717,driver_antagonize,Stim48hr,0.19524735,0.3078523140925637,0.0,0.15,0.5,-0.47747692,-3.1369345,0.031618650007473936,-14.568625471623928,none,0.0,False,,,,,,transporter,small molecule,class_tractable_sm,True,not_assessed,,,,False,False,2,ENSG00000144659
