,dolc_IFNG_z,dolc_IL2_z,schmidt_signed,schmidt_dir,schmidt_causal,schmidt_integrated,direction,integrated_score
PDCD2L,0.6671459001713274,-0.1455727289526731,0.6671459001713274,brake_agonize,0.6671459001713274,0.24768478260869567,brake_agonize,0.3689178367134685
PDCD5,-0.3697542367598768,-0.0133482491543121,-0.3697542367598768,driver_antagonize,0.3697542367598768,0.3000355980360443,driver_antagonize,0.356092952938936
PDE6B,1.193906688329648,0.5508132858191112,1.193906688329648,brake_agonize,1.193906688329648,0.36058695652173917,driver_antagonize,0.15869422776911077
PDE6D,0.0838557274595835,-1.0720399052402247,0.0838557274595835,brake_agonize,1.0720399052402247,0.3404456521739131,driver_antagonize,0.30774258970358814
PDE6G,-0.3801941021174024,-0.4145369936144229,-0.3801941021174024,driver_antagonize,0.4145369936144229,0.1684130434782609,driver_antagonize,0.28245917836713474
PDE7B,0.2961963486869669,-0.0172623003803594,0.2961963486869669,brake_agonize,0.2961963486869669,0.435798144122831,driver_antagonize,0.680092475896102
PDIA3,0.2442148227677473,-0.0614276378801886,0.2442148227677473,brake_agonize,0.2442148227677473,0.20573840400721863,driver_antagonize,0.19082155646375168
PDIA4,0.460065405547813,0.395143270528165,0.460065405547813,brake_agonize,0.460065405547813,0.1822717391304348,driver_antagonize,0.14932345293811755
PDLIM2,0.0389088541758866,1.1650041896326515,0.0389088541758866,brake_agonize,1.1650041896326515,0.35689130434782607,brake_agonize,0.34434165366614666
PDLIM5,-0.4019257220829018,0.100252135390123,-0.4019257220829018,driver_antagonize,0.4019257220829018,0.16508695652173916,driver_antagonize,0.2577061882475299
PDP2,-0.7579605528467327,0.4435792329953251,-0.7579605528467327,driver_antagonize,0.7579605528467327,0.44406786594713177,driver_antagonize,0.5544586107073569
PDSS2,-0.483123868485723,1.4841117866135058,-0.483123868485723,driver_antagonize,1.4841117866135058,0.3949565217391305,brake_agonize,0.38642173686947484
PDXP,-0.2513781399830294,0.2956549644249124,-0.2513781399830294,driver_antagonize,0.2956549644249124,0.13663043478260872,driver_antagonize,0.22605772230889237
PEA15,0.1906204136724652,-0.0281109621372515,0.1906204136724652,brake_agonize,0.1906204136724652,0.11556521739130436,driver_antagonize,0.23436765470618828
PECAM1,-1.7032583678364792,1.6866481132195923,-1.7032583678364792,driver_antagonize,1.7032583678364792,0.40992391304347825,driver_antagonize,0.390841913676547
PELI2,-0.0564483489107278,0.7157638670957226,-0.0564483489107278,driver_antagonize,0.7157638670957226,0.486101998799943,brake_agonize,0.6666412377608057
PEMT,0.0418065086283875,0.2927945344620784,0.0418065086283875,brake_agonize,0.2927945344620784,0.1358913043478261,driver_antagonize,0.4320379615184608
PEPD,0.4345493749867993,1.165851797361709,0.4345493749867993,brake_agonize,1.165851797361709,0.35707608695652177,driver_antagonize,0.3653816952678108
PEX11G,-0.3494021857509045,-0.1354951799775381,-0.3494021857509045,driver_antagonize,0.3494021857509045,0.15122826086956523,brake_agonize,0.22888663546541863
PEX19,-0.6052752588692007,0.3478874350925067,-0.6052752588692007,driver_antagonize,0.6052752588692007,0.2290217391304348,brake_agonize,0.42036869474779
PFDN1,-0.492507970759487,0.7210716134916054,-0.492507970759487,driver_antagonize,0.7210716134916054,0.2600652173913044,driver_antagonize,0.3897810712428497
PFDN5,-0.4822437400510624,-0.9184026704750912,-0.4822437400510624,driver_antagonize,0.9184026704750912,0.31346739130434786,driver_antagonize,0.17354602184087364
PFKM,0.6006439641885617,0.3276198820917956,0.6006439641885617,brake_agonize,0.6006439641885617,0.29625,brake_agonize,0.5128231929277172
PGAM1,0.2096464775079294,-0.3526428511919675,0.2096464775079294,brake_agonize,0.3526428511919675,0.1525217391304348,driver_antagonize,0.29165314612584503
PGBD2,-0.8693519570870908,0.6974787957925616,-0.8693519570870908,driver_antagonize,0.8693519570870908,0.29997826086956525,driver_antagonize,0.19264118564742588
PGGHG,-0.0902592061312563,-0.9027743324377688,-0.0902592061312563,driver_antagonize,0.9027743324377688,0.30884782608695655,driver_antagonize,0.2612423296931877
PGK1,0.3092274524066095,-1.6627258241602605,0.3092274524066095,brake_agonize,1.6627258241602605,0.4082608695652174,driver_antagonize,0.1825631825273011
PGRMC2,-0.8016815637755946,-0.849177363334746,-0.8016815637755946,driver_antagonize,0.849177363334746,0.42773526475963525,driver_antagonize,0.3470136115456806
PGS1,-1.7317231544127465,-0.6908007514507785,-1.7317231544127465,driver_antagonize,1.7317231544127465,0.4819565217391305,driver_antagonize,0.511408736349454
PHC2,-1.1825183555306626,0.3413658578778022,-1.1825183555306626,driver_antagonize,1.1825183555306626,0.3592934782608696,driver_antagonize,0.12191835673426937
PHF11,-0.1946502508015376,-0.2147483305370475,-0.1946502508015376,driver_antagonize,0.2147483305370475,0.11981521739130435,driver_antagonize,0.16682735309412378
PHF2,-0.8843694577549465,0.1660118393980124,-0.8843694577549465,driver_antagonize,0.8843694577549465,0.30275,driver_antagonize,0.296603744149766
PHLDA3,0.6417826252588461,-0.4203134264439986,0.6417826252588461,brake_agonize,0.6417826252588461,0.2421413043478261,driver_antagonize,0.3664425377015081
PHLPP2,-0.044958293759691,1.5660255366718352,-0.044958293759691,driver_antagonize,1.5660255366718352,0.40253260869565216,brake_agonize,0.311278731149246
PHRF1,-0.0459647408441176,-0.028994526631684,-0.0459647408441176,driver_antagonize,0.0459647408441176,0.16313821611553592,driver_antagonize,0.25452354587655246
PHTF1,0.0379392656731988,0.3624366749240523,0.0379392656731988,brake_agonize,0.3624366749240523,0.3884967378514253,brake_agonize,0.3816745793129099
PIAS1,1.1198503811813325,0.8898551978754626,1.1198503811813325,brake_agonize,1.1198503811813325,0.3496847826086957,brake_agonize,0.18415444617784713
PIAS3,0.5456232916101811,0.862926466124663,0.5456232916101811,brake_agonize,0.862926466124663,0.2979456521739131,driver_antagonize,0.4353972958918357
PIDD1,-0.3128263014497034,0.0055433162261871,-0.3128263014497034,driver_antagonize,0.3128263014497034,0.14254347826086958,brake_agonize,0.4163021320852834
PIGU,-0.0736590241405974,-0.8596954963267336,-0.0736590241405974,driver_antagonize,0.8596954963267336,0.29702173913043484,brake_agonize,0.28935465418616746
PIGV,0.1243920143693256,-0.6198294342200765,0.1243920143693256,brake_agonize,0.6198294342200765,0.2340108695652174,brake_agonize,0.13022828913156526
PIK3C2B,-0.8644499417696955,-0.7606607626500981,-0.8644499417696955,driver_antagonize,0.8644499417696955,0.42062384725917484,driver_antagonize,0.2583635768483584
PIK3C3,0.7649947018367794,0.4717680166281182,0.7649947018367794,brake_agonize,0.7649947018367794,0.5024441400193599,brake_agonize,0.577747329103445
PIK3IP1,0.0199379331992699,-0.5846857963624699,0.0199379331992699,brake_agonize,0.5846857963624699,0.2194130434782609,driver_antagonize,0.33426365054602186
PIK3R2,-0.2735241015577004,0.4539970540124938,-0.2735241015577004,driver_antagonize,0.4539970540124938,0.18042391304347827,driver_antagonize,0.12439365574622986
PIMREG,0.0641607147283404,0.2585860732499542,0.0641607147283404,brake_agonize,0.2585860732499542,0.1277608695652174,driver_antagonize,0.2562917316692668
PIP4K2B,1.0430192238696658,1.3559627927716964,1.0430192238696658,brake_agonize,1.3559627927716964,0.3805434782608696,driver_antagonize,0.41099791991679674
PIP5K1A,3.675337188638977,2.878673135869083,3.675337188638977,brake_agonize,3.675337188638977,0.4365326086956522,driver_antagonize,0.37316120644825795
PITHD1,-0.8384620312790572,0.2432237696525312,-0.8384620312790572,driver_antagonize,0.8384620312790572,0.2909239130434783,driver_antagonize,0.135532501300052
PITPNA,0.6563709824800965,-1.547320514135387,0.6563709824800965,brake_agonize,1.547320514135387,0.4006847826086957,brake_agonize,0.2393182527301092
PKN1,-0.774482414970783,0.8025816900154866,-0.774482414970783,driver_antagonize,0.8025816900154866,0.2818695652173913,brake_agonize,0.29076911076443057
PLA2G12A,0.4704824665331766,0.294562530784181,0.4704824665331766,brake_agonize,0.4704824665331766,0.18467391304347827,driver_antagonize,0.15356682267290694
PLA2G4A,0.8291345888580982,-0.249424949510395,0.8291345888580982,brake_agonize,0.8291345888580982,0.5631807724587929,brake_agonize,0.6807143307576466
PLAC8,0.0837101366786614,1.0976571836058748,0.0837101366786614,brake_agonize,1.0976571836058748,0.4529633495513583,driver_antagonize,0.4216760889304987
PLCG2,-1.4400107620323932,0.3594328945220117,-1.4400107620323932,driver_antagonize,1.4400107620323932,0.6428439711359648,driver_antagonize,0.4290348300746702
PLCL1,-0.3745745188458748,0.08259936560101,-0.3745745188458748,driver_antagonize,0.3745745188458748,0.478027755375525,brake_agonize,0.6579710391938343
PLCL2,-1.053611442241058,1.386052535765276,-1.053611442241058,driver_antagonize,1.386052535765276,0.6454652927452196,brake_agonize,0.38189091846590056
PLEK,0.4828331535356926,-0.4114731603765649,0.4828331535356926,brake_agonize,0.4828331535356926,0.34894565217391305,brake_agonize,0.48886817472698907
PLEKHA2,-0.1810836377426818,-0.9402858170711628,-0.1810836377426818,driver_antagonize,0.9402858170711628,0.3175326086956522,brake_agonize,0.1562189287571503
PLEKHA5,-0.6556122759360263,0.537709906592871,-0.6556122759360263,driver_antagonize,0.6556122759360263,0.409152989812928,brake_agonize,0.5504689250590336
PLEKHB1,0.6636172839429543,-1.3150519855573424,0.6636172839429543,brake_agonize,1.3150519855573424,0.3766630434782609,driver_antagonize,0.24833541341653667
PLEKHB2,1.03709201700219,0.2397710052548952,1.03709201700219,brake_agonize,1.03709201700219,0.3354565217391305,driver_antagonize,0.2278257930317213
