target_gene,ensembl_id,direction,peak_condition,abs_emp_z,genetics_autoimmune,genetics_tier,primary_class,suggested_modality,is_druggable,n_drugs,drug_stages,max_drug_stage,novelty_class,in_paper_noms
ATG3,ENSG00000144848,brake_agonize,Stim8hr,2.9819293,0.0,none,,undetermined,False,,,,not_assessed,False
ATG9A,ENSG00000198925,brake_agonize,Rest,4.5579777,0.0,none,,undetermined,False,,,,not_assessed,False
ATL2,ENSG00000119787,driver_antagonize,Stim8hr,7.3940177,0.0,none,,antibody/biologic (surface),True,0.0,,,novel_undrugged,False
ATP13A1,ENSG00000105726,brake_agonize,Stim8hr,2.7658737,0.0,none,,undetermined,False,,,,not_assessed,False
ATP13A3,ENSG00000133657,driver_antagonize,Rest,3.1460164,0.0,none,,undetermined,False,,,,not_assessed,False
ATP1B3,ENSG00000069849,brake_agonize,Stim8hr,4.7935605,0.0,none,transporter,small molecule,True,,,,not_assessed,False
ATP23,ENSG00000166896,driver_antagonize,Stim8hr,3.0044172,0.5356115852660913,strong,,undetermined,False,,,,not_assessed,False
ATP2A2,ENSG00000174437,brake_agonize,Rest,3.3157375,0.756623221834865,strong,transporter,small molecule,True,2.0,PHASE_2;PHASE_2_3,3.0,clinical_stage_drug,False
ATP5F1A,ENSG00000152234,brake_agonize,Rest,5.849509,0.0,none,transporter,small molecule,True,,,,not_assessed,False
ATP5F1E,ENSG00000124172,driver_antagonize,Stim8hr,3.884452,0.0,none,transporter,small molecule,True,,,,not_assessed,False
ATP5MG,ENSG00000167283,driver_antagonize,Stim8hr,3.0493152,0.299007623979216,moderate,,undetermined,False,,,,not_assessed,False
ATP5PD,ENSG00000167863,driver_antagonize,Stim48hr,3.1308203,0.0,none,transporter,small molecule,True,,,,not_assessed,False
ATP5PO,ENSG00000241837,driver_antagonize,Stim8hr,3.0901608,0.0,none,,undetermined,False,,,,not_assessed,False
ATP6V0E1,ENSG00000113732,driver_antagonize,Stim8hr,4.013206,0.0,none,transporter,small molecule,True,,,,not_assessed,False
ATP6V1E1,ENSG00000131100,driver_antagonize,Stim48hr,5.452674,0.0,none,transporter,small molecule,True,,,,not_assessed,False
ATP7A,ENSG00000165240,driver_antagonize,Rest,3.170124,0.0,none,transporter,small molecule,True,,,,not_assessed,False
ATP8B2,ENSG00000143515,brake_agonize,Stim8hr,3.5039256,0.3010174661089617,moderate,transporter,small molecule,True,0.0,,,novel_undrugged,False
ATP8B3,ENSG00000130270,driver_antagonize,Stim8hr,5.560114,0.0,none,transporter,small molecule,True,,,,not_assessed,False
ATP8B4,ENSG00000104043,driver_antagonize,Stim8hr,2.7358038,0.0,none,transporter,small molecule,True,,,,not_assessed,False
ATP9A,ENSG00000054793,driver_antagonize,Stim48hr,3.0870838,0.0,none,transporter,small molecule,True,,,,not_assessed,False
ATXN1L,ENSG00000224470,brake_agonize,Rest,3.4181907,0.0,none,,undetermined,False,,,,not_assessed,False
ATXN7L2,ENSG00000162650,driver_antagonize,Stim8hr,3.0631087,0.0,none,,undetermined,False,,,,not_assessed,False
ATXN7L3,ENSG00000087152,driver_antagonize,Stim48hr,3.165897,0.0,none,,undetermined,False,,,,not_assessed,False
ATXN7L3B,ENSG00000253719,driver_antagonize,Stim48hr,3.0741467,0.4301394197180002,moderate,,undetermined,False,,,,not_assessed,False
AZI2,ENSG00000163512,driver_antagonize,Stim8hr,5.010094,0.0,none,,undetermined,False,,,,not_assessed,False
B3GALT4,ENSG00000235863,driver_antagonize,Stim48hr,4.10247,0.0,none,,undetermined,False,,,,not_assessed,False
B3GLCT,ENSG00000187676,driver_antagonize,Stim8hr,3.1650171,0.0,none,,undetermined,False,,,,not_assessed,False
B4GALT5,ENSG00000158470,driver_antagonize,Stim8hr,3.3594198,0.0,none,,undetermined,False,,,,not_assessed,False
BAG1,ENSG00000107262,brake_agonize,Stim8hr,4.864802,0.0,none,,undetermined,False,,,,not_assessed,False
BAK1,ENSG00000030110,brake_agonize,Stim48hr,3.575149,0.6249054386169272,strong,,small molecule,True,0.0,,,novel_undrugged,False
BAP1,ENSG00000163930,driver_antagonize,Stim48hr,3.0585823,0.0,none,,undetermined,False,,,,not_assessed,False
BATF,ENSG00000156127,driver_antagonize,Stim48hr,4.539379,0.7272246224770792,strong,transcription_factor,hard (TF — degrader/PPI),False,0.0,,,novel_undrugged,True
BAX,ENSG00000087088,driver_antagonize,Stim48hr,3.040632,0.0,none,,undetermined,False,,,,not_assessed,False
BAZ2A,ENSG00000076108,driver_antagonize,Stim8hr,2.9356217,0.0,none,transcription_factor,hard (TF — degrader/PPI),False,,,,not_assessed,False
BBS1,ENSG00000174483,driver_antagonize,Stim48hr,3.957833,0.0,none,,undetermined,False,,,,not_assessed,False
BBS12,ENSG00000181004,brake_agonize,Rest,5.4246364,0.3583242380968519,moderate,,undetermined,False,0.0,,,novel_undrugged,False
BBS2,ENSG00000125124,driver_antagonize,Stim48hr,3.6002278,0.0,none,,undetermined,False,,,,not_assessed,False
BBS7,ENSG00000138686,brake_agonize,Rest,3.9124465,0.5877399562979599,strong,,undetermined,False,0.0,,,novel_undrugged,False
BCAS4,ENSG00000124243,driver_antagonize,Stim48hr,3.7236345,0.0,none,,undetermined,False,,,,not_assessed,False
BCL3,ENSG00000069399,driver_antagonize,Stim8hr,5.829269,0.4349025024089039,moderate,,small molecule,True,0.0,,,novel_undrugged,False
BCL7A,ENSG00000110987,driver_antagonize,Stim8hr,3.3751624,0.0,none,,undetermined,False,,,,not_assessed,False
BCL7C,ENSG00000099385,driver_antagonize,Stim8hr,3.3470602,0.0,none,,undetermined,False,,,,not_assessed,False
BCL9,ENSG00000116128,driver_antagonize,Stim8hr,5.2846284,0.0,none,,undetermined,False,,,,not_assessed,False
BCORL1,ENSG00000085185,driver_antagonize,Rest,4.060495,0.0,none,,undetermined,False,,,,not_assessed,False
BEGAIN,ENSG00000183092,driver_antagonize,Stim48hr,4.252887,0.0,none,,undetermined,False,,,,not_assessed,False
BET1L,ENSG00000177951,driver_antagonize,Stim8hr,2.841693,0.0,none,,undetermined,False,,,,not_assessed,False
BLOC1S5,ENSG00000188428,driver_antagonize,Stim8hr,3.1948063,0.0,none,,undetermined,False,,,,not_assessed,False
BLVRB,ENSG00000090013,driver_antagonize,Stim8hr,3.1148202,0.0,none,,undetermined,False,,,,not_assessed,False
BMAL2,ENSG00000029153,driver_antagonize,Rest,3.2049685,0.0,none,,undetermined,False,,,,not_assessed,False
BOD1,ENSG00000145919,driver_antagonize,Stim8hr,3.7700412,0.0,none,,undetermined,False,,,,not_assessed,False
BORCS6,ENSG00000196544,driver_antagonize,Stim8hr,3.6481903,0.0,none,,undetermined,False,,,,not_assessed,False
BRAT1,ENSG00000106009,driver_antagonize,Stim8hr,3.2973163,0.0,none,,undetermined,False,,,,not_assessed,False
BRD1,ENSG00000100425,driver_antagonize,Stim48hr,4.4628444,0.436045421066851,moderate,enzyme,small molecule,True,0.0,,,novel_undrugged,False
BRD4,ENSG00000141867,brake_agonize,Stim8hr,3.196986,0.0,none,enzyme,small molecule,True,,,,not_assessed,False
BRI3BP,ENSG00000184992,brake_agonize,Stim8hr,3.6462433,0.0,none,,undetermined,False,,,,not_assessed,False
BRK1,ENSG00000254999,driver_antagonize,Stim8hr,3.7039502,0.0,none,,undetermined,False,,,,not_assessed,False
BRPF1,ENSG00000156983,driver_antagonize,Stim48hr,2.9107697,0.2378326077779336,weak,,undetermined,False,,,,not_assessed,False
BRWD1,ENSG00000185658,brake_agonize,Rest,3.7609994,0.0,none,,undetermined,False,,,,not_assessed,False
BSPRY,ENSG00000119411,brake_agonize,Stim8hr,3.346133,0.0,none,,undetermined,False,,,,not_assessed,False
BTAF1,ENSG00000095564,driver_antagonize,Stim48hr,4.23661,0.0,none,,undetermined,False,,,,not_assessed,False
BTBD1,ENSG00000064726,driver_antagonize,Rest,3.4369206,0.0,none,,undetermined,False,,,,not_assessed,False
