target_gene,ensembl_id,peak_condition,direction,abs_emp_z,peak_signed_score,genetics_autoimmune,autoimmune_ot_score,ot_autoimmune_disease,ot_top_disease,ot_top_score,lof_bin,lof_constrained,mis_z,genetics_tier
OSTC,ENSG00000198856,Stim8hr,driver_antagonize,3.2025247,-0.44550535,0.0,0.0,,,,,False,,none
OTUB1,ENSG00000167770,Stim8hr,brake_agonize,3.4816272,0.6868083,0.0,0.0,,,,,False,,none
OTUD1,ENSG00000165312,Stim8hr,brake_agonize,3.6940098,0.7785311,0.0,0.0,,,,,False,,none
OTUD5,ENSG00000068308,Stim8hr,driver_antagonize,4.2968016,-0.6198885,0.0,0.0,,,,,False,,none
OTUD7B,ENSG00000264522,Stim8hr,driver_antagonize,3.3314106,-0.43190065,0.0,0.0,,,,,False,,none
OXSR1,ENSG00000172939,Rest,brake_agonize,3.3246167,0.47311535,0.0,0.0,,,,,False,,none
P2RX7,ENSG00000089041,Stim8hr,brake_agonize,4.5627027,0.54179186,0.0,0.0,,,,,False,,none
P3H1,ENSG00000117385,Stim8hr,driver_antagonize,4.4981527,-0.6846268,0.0,0.0,,,,,False,,none
P4HTM,ENSG00000178467,Stim48hr,driver_antagonize,3.4266021,-0.5732761,0.0,0.0,,,,,False,,none
PAAF1,ENSG00000175575,Stim8hr,driver_antagonize,3.3763006,-0.5459868,0.0,0.0,,,,,False,,none
PABPC1L,ENSG00000101104,Stim48hr,driver_antagonize,3.415576,-0.44929883,0.0,0.0,,,,,False,,none
PAGR1,ENSG00000280789,Stim8hr,driver_antagonize,3.166883,-0.6074999,0.0,0.0,,,,,False,,none
PAIP2,ENSG00000120727,Stim8hr,driver_antagonize,3.1615674,-0.47795573,0.0,0.0,,,,,False,,none
PAK2,ENSG00000180370,Stim48hr,driver_antagonize,3.8662372,-0.65267444,0.0,0.0,,,,,False,,none
PALS1,ENSG00000072415,Stim8hr,driver_antagonize,2.9272926,-0.43643594,0.0,0.0,,,,,False,,none
PANX2,ENSG00000073150,Stim8hr,driver_antagonize,3.9954007,-0.5985419,0.0,0.0,,,,,False,,none
PAQR7,ENSG00000182749,Rest,driver_antagonize,3.8022969,-0.66910225,0.0,0.0,,,,,False,,none
PARD6B,ENSG00000124171,Stim8hr,brake_agonize,2.7220588,0.3790038,0.0,0.0,,,,,False,,none
PARP11,ENSG00000111224,Stim48hr,driver_antagonize,2.887598,-0.39696062,0.0,0.0,,,,,False,,none
PARP16,ENSG00000138617,Stim48hr,driver_antagonize,3.063804,-0.43218258,0.0,0.0,,,,,False,,none
PARP2,ENSG00000129484,Stim8hr,brake_agonize,2.904174,0.4775145,0.0,0.0,,,,,False,,none
PARP8,ENSG00000151883,Stim48hr,driver_antagonize,4.0767765,-0.60455245,0.2204461894373767,0.2204461894373767,,type 2 diabetes mellitus,0.442,2.0,False,1.7590999603271484,weak
PAWR,ENSG00000177425,Stim48hr,driver_antagonize,3.5196931,-0.5200995,0.0,0.0,,,,,False,,none
PCBP1,ENSG00000169564,Stim48hr,brake_agonize,3.7844229,0.73936766,0.0,0.0,,,,,False,,none
PCBP4,ENSG00000090097,Stim48hr,driver_antagonize,4.535359,-0.7111387,0.0,0.0,,,,,False,,none
PCGF1,ENSG00000115289,Stim8hr,driver_antagonize,2.9847898,-0.52834684,0.0,0.0,,,,,False,,none
PCGF2,ENSG00000277258,Stim8hr,driver_antagonize,3.782413,-0.5704172,0.0,0.0,,,,,False,,none
PCIF1,ENSG00000100982,Stim8hr,brake_agonize,3.097641,0.493071,0.0,0.0,,,,,False,,none
PCMTD1,ENSG00000168300,Stim8hr,driver_antagonize,3.187216,-0.4754692,0.270712140489625,0.270712140489625,,,,,False,,moderate
PCSK7,ENSG00000160613,Stim8hr,driver_antagonize,3.1078994,-0.43804857,0.0,0.0,,,,,False,,none
PCYT2,ENSG00000185813,Stim48hr,brake_agonize,3.004111,0.69081825,0.0,0.0,,,,,False,,none
PDCD2L,ENSG00000126249,Rest,brake_agonize,4.006647,0.94638926,0.0,0.0,,,,,False,,none
PDCD5,ENSG00000105185,Rest,driver_antagonize,3.1560533,-0.41478673,0.4800099644679736,0.4800099644679736,,,,,False,,moderate
PDE6B,ENSG00000133256,Stim48hr,driver_antagonize,2.9802382,-0.42260504,0.0,0.0,,,,,False,,none
PDE6D,ENSG00000156973,Stim48hr,driver_antagonize,3.5679274,-0.5202678,0.0,0.0,,,,,False,,none
PDE6G,ENSG00000185527,Stim8hr,driver_antagonize,3.4333086,-0.43145835,0.0,0.0,,,,,False,,none
PDE7B,ENSG00000171408,Stim8hr,driver_antagonize,4.155165,-0.56095326,0.53599381374277,0.53599381374277,,stroke disorder,0.572,3.0,False,1.2015999555587769,strong
PDIA3,ENSG00000167004,Stim8hr,driver_antagonize,2.7575264,-0.48633465,0.2691642452414534,0.2691642452414534,,,,,False,,moderate
PDIA4,ENSG00000155660,Stim8hr,driver_antagonize,2.9440734,-0.3866416,0.0,0.0,,,,,False,,none
PDLIM2,ENSG00000120913,Stim8hr,brake_agonize,3.797635,0.7670548,0.0,0.0,,,,,False,,none
PDLIM5,ENSG00000163110,Stim8hr,driver_antagonize,3.3164723,-0.44632065,0.0,0.0,,,,,False,,none
