target_gene,ensembl_id,direction,peak_condition,abs_emp_z,genetics_autoimmune,genetics_tier,primary_class,protein_classes,tractability_tier,suggested_modality,is_druggable,sm_clinical,sm_ligand,sm_pocket,sm_druggable_family,ab_clinical,ab_surface,n_drugs,drug_stages
CAAP1,ENSG00000120159,driver_antagonize,Stim8hr,2.8984175,0.362471820434408,moderate,,,unknown,undetermined,False,,,,,,,,
CAB39,ENSG00000135932,brake_agonize,Stim48hr,3.0763602,0.0,none,,,unknown,undetermined,False,,,,,,,,
CABIN1,ENSG00000099991,driver_antagonize,Stim48hr,3.7766387,0.0,none,,,unknown,undetermined,False,,,,,,,,
CACUL1,ENSG00000151893,brake_agonize,Stim48hr,3.2944055,0.0,none,,,unknown,undetermined,False,,,,,,,,
CALD1,ENSG00000122786,driver_antagonize,Stim8hr,3.4454303,0.0,none,,,unknown,undetermined,False,,,,,,,,
CAMK1,ENSG00000134072,driver_antagonize,Stim48hr,4.120158,0.0,none,enzyme,enzyme,class_tractable_sm,small molecule,True,,,,,,,,
CAMK1D,ENSG00000183049,driver_antagonize,Stim48hr,3.1751745,0.0,none,enzyme,enzyme,class_tractable_sm,small molecule,True,,,,,,,,
CAMK2D,ENSG00000145349,driver_antagonize,Stim48hr,3.2065902,0.0,none,enzyme,enzyme,class_tractable_sm,small molecule,True,,,,,,,,
CAMK2N1,ENSG00000162545,driver_antagonize,Stim8hr,3.2019129,0.0,none,,,unknown,undetermined,False,,,,,,,,
CAMKMT,ENSG00000143919,driver_antagonize,Stim8hr,3.593849,0.0,none,,,unknown,undetermined,False,,,,,,,,
CAP1,ENSG00000131236,driver_antagonize,Stim8hr,3.0463743,0.0,none,,,unknown,undetermined,False,,,,,,,,
CAPN1,ENSG00000014216,driver_antagonize,Stim48hr,3.5711973,0.0,none,enzyme,enzyme,class_tractable_sm,small molecule,True,,,,,,,,
CAPZA2,ENSG00000198898,driver_antagonize,Stim8hr,3.1317122,0.0,none,,,unknown,undetermined,False,,,,,,,,
CARD11,ENSG00000198286,brake_agonize,Stim8hr,2.7221313,0.7596735650601476,strong,,,unknown,undetermined,False,,,,,,,,
CARD6,ENSG00000132357,driver_antagonize,Stim8hr,4.934576,0.1287249937745077,weak,,,unknown,undetermined,False,False,False,False,False,False,False,0.0,
CARMIL2,ENSG00000159753,driver_antagonize,Stim8hr,3.412206,0.1404822533781892,weak,,,unknown,undetermined,False,,,,,,,,
CASP6,ENSG00000138794,driver_antagonize,Stim48hr,3.3116157,0.0,none,enzyme,enzyme,class_tractable_sm,small molecule,True,,,,,,,,
CASP7,ENSG00000165806,driver_antagonize,Stim48hr,3.5852137,0.5292289697392155,strong,enzyme,enzyme,clinical_precedent,small molecule,True,True,True,True,True,False,True,1.0,PHASE_2
CASP8,ENSG00000064012,driver_antagonize,Stim8hr,3.0852704,0.6041645740649099,strong,enzyme,enzyme,class_tractable_sm,small molecule,True,,,,,,,,
CATSPERG,ENSG00000099338,driver_antagonize,Rest,4.145513,0.0,none,ion_channel,ion_channel,class_tractable_sm,small molecule,True,,,,,,,,
CAVIN1,ENSG00000177469,driver_antagonize,Stim48hr,4.5758986,0.2651045872925198,moderate,,,ab_tractable,antibody/biologic (surface),True,False,False,False,False,False,True,0.0,
CBFA2T2,ENSG00000078699,driver_antagonize,Stim48hr,2.9842165,0.0,none,,,unknown,undetermined,False,,,,,,,,
CBLB,ENSG00000114423,brake_agonize,Stim8hr,3.2595966,0.8219748211854291,strong,,,sm_tractable,small molecule,True,False,True,False,False,False,False,0.0,
CBLN3,ENSG00000139899,driver_antagonize,Stim48hr,3.544446,0.0,none,cytokine,cytokine,class_tractable_bio,biologic (secreted),True,,,,,,,,
CBX1,ENSG00000108468,driver_antagonize,Stim48hr,2.9378507,0.2016126961111431,weak,,,unknown,undetermined,False,,,,,,,,
CBX4,ENSG00000141582,driver_antagonize,Stim48hr,3.2602444,0.0,none,,,unknown,undetermined,False,,,,,,,,
CCAR1,ENSG00000060339,brake_agonize,Stim8hr,3.003524,0.0,none,,,unknown,undetermined,False,,,,,,,,
CCDC106,ENSG00000173581,brake_agonize,Stim8hr,4.33765,0.0,none,,,unknown,undetermined,False,,,,,,,,
CCDC107,ENSG00000159884,driver_antagonize,Stim48hr,3.7855663,0.0,none,,,unknown,undetermined,False,,,,,,,,
CCDC12,ENSG00000160799,driver_antagonize,Stim8hr,3.3505278,0.0,none,,,unknown,undetermined,False,,,,,,,,
CCDC127,ENSG00000164366,brake_agonize,Stim8hr,3.088678,0.0,none,,,unknown,undetermined,False,,,,,,,,
CCDC134,ENSG00000100147,brake_agonize,Rest,3.7981868,0.0,none,,,unknown,undetermined,False,,,,,,,,
CCDC136,ENSG00000128596,brake_agonize,Stim48hr,3.6622403,0.0,none,,,unknown,undetermined,False,,,,,,,,
CCDC138,ENSG00000163006,brake_agonize,Rest,3.815117,0.0,none,,,unknown,undetermined,False,,,,,,,,
CCDC159,ENSG00000183401,driver_antagonize,Stim8hr,5.2029138,0.0,none,,,unknown,undetermined,False,,,,,,,,
CCDC25,ENSG00000147419,brake_agonize,Stim8hr,3.6395597,0.0,none,,,unknown,undetermined,False,,,,,,,,
CCDC43,ENSG00000180329,brake_agonize,Stim48hr,3.3162172,0.0,none,,,unknown,undetermined,False,,,,,,,,
CCDC51,ENSG00000164051,brake_agonize,Stim8hr,3.067278,0.0,none,,,unknown,undetermined,False,,,,,,,,
CCDC57,ENSG00000176155,driver_antagonize,Stim48hr,3.8408012,0.0,none,,,unknown,undetermined,False,,,,,,,,
CCDC66,ENSG00000180376,driver_antagonize,Stim8hr,2.8562126,0.0,none,,,unknown,undetermined,False,,,,,,,,
CCDC82,ENSG00000149231,driver_antagonize,Stim48hr,2.9921908,0.0,none,,,unknown,undetermined,False,,,,,,,,
CCDC88C,ENSG00000015133,driver_antagonize,Stim8hr,3.0566113,0.0,none,,,unknown,undetermined,False,,,,,,,,
