gene,protein_classes,primary_class
TMPRSS6,enzyme,enzyme
MMP10,enzyme,enzyme
PDE3A,enzyme,enzyme
MMP24,enzyme,enzyme
PRKAR1A,enzyme,enzyme
MAPK14,enzyme,enzyme
CNDP2,enzyme,enzyme
MAP3K15,enzyme,enzyme
APEH,enzyme,enzyme
PDE4D,enzyme,enzyme
MAPK9,enzyme,enzyme
SMPDL3A,enzyme,enzyme
PHF8,enzyme,enzyme
RPS6KL1,enzyme,enzyme
SETD7,enzyme,enzyme
CASP2,enzyme,enzyme
MOGAT2,enzyme,enzyme
MAP3K3,enzyme,enzyme
ADAMTS1,enzyme,enzyme
NPEPL1,enzyme,enzyme
PIP5K1B,enzyme,enzyme
CNDP1,enzyme,enzyme
STRADA,enzyme,enzyme
EEF2K,enzyme,enzyme
PIP4K2A,enzyme,enzyme
TDO2,enzyme,enzyme
XPNPEP1,enzyme,enzyme
KDM5A,enzyme,enzyme
CAMK2G,enzyme,enzyme
MAP4K4,enzyme,enzyme
EED,enzyme,enzyme
PRKCD,enzyme,enzyme
IDH1,enzyme,enzyme
PPAT,enzyme,enzyme
PRKCQ,enzyme,enzyme
ASH1L,enzyme;transcription_factor,enzyme
GTF3C4,enzyme,enzyme
PLA2G10,enzyme,enzyme
PLD1,enzyme,enzyme
PRKCB,enzyme,enzyme
ALOX15,enzyme,enzyme
ADAMTS14,enzyme,enzyme
PRSS8,enzyme,enzyme
ADAM8,enzyme,enzyme
ADAMTS4,enzyme,enzyme
HMGCS1,enzyme,enzyme
MME,enzyme,enzyme
ST14,enzyme,enzyme
DIO2,enzyme,enzyme
MAP3K4,enzyme,enzyme
LIPF,enzyme,enzyme
MAP2K7,enzyme,enzyme
DDAH2,enzyme,enzyme
ITPKB,enzyme,enzyme
PLA2G4C,enzyme,enzyme
PRCP,enzyme,enzyme
KLK1,enzyme,enzyme
SIRT3,enzyme,enzyme
CPB2,enzyme,enzyme
PCSK2,enzyme,enzyme
PRKACG,enzyme,enzyme
PDE6G,enzyme,enzyme
PLA2G2D,enzyme,enzyme
BACE1,enzyme,enzyme
ACR,enzyme,enzyme
BACE2,enzyme,enzyme
ELP3,enzyme,enzyme
INPP5J,enzyme,enzyme
MAPK11,enzyme,enzyme
SMPD3,enzyme,enzyme
MAP4K5,enzyme,enzyme
MMP11,enzyme,enzyme
ERAP2,enzyme,enzyme
PDE3B,enzyme,enzyme
NOS1,enzyme,enzyme
MVK,enzyme,enzyme
PLCB1,enzyme,enzyme
INPP4B,enzyme,enzyme
CYP4B1,enzyme,enzyme
NT5C1A,enzyme,enzyme
DNMT3A,enzyme,enzyme
RPS6KC1,enzyme,enzyme
TAF1,enzyme,enzyme
SRD5A2,enzyme,enzyme
PRKAA1,enzyme,enzyme
GATM,enzyme,enzyme
ADAMTS17,enzyme,enzyme
HDAC10,enzyme,enzyme
PRKCE,enzyme,enzyme
PRKAB1,enzyme,enzyme
CASP1,enzyme,enzyme
NOS3,enzyme,enzyme
KAT8,enzyme,enzyme
ASAH2,enzyme,enzyme
FKBP1A,enzyme,enzyme
DGAT1,enzyme,enzyme
PDE2A,enzyme,enzyme
DAGLA,enzyme,enzyme
MMP14,enzyme,enzyme
CIT,enzyme,enzyme
AHCY,enzyme,enzyme
GZMA,enzyme,enzyme
NAALADL1,enzyme,enzyme
TPO,enzyme,enzyme
SGMS1,enzyme,enzyme
ADA,enzyme,enzyme
CYP8B1,enzyme,enzyme
GALNS,enzyme,enzyme
EGLN2,enzyme,enzyme
GGH,enzyme,enzyme
NOS2,enzyme,enzyme
PDE6A,enzyme,enzyme
GBA,enzyme,enzyme
ACACA,enzyme,enzyme
CPXM2,enzyme,enzyme
CYP7B1,enzyme,enzyme
KDM4A,enzyme,enzyme
EIF2AK4,enzyme,enzyme
TWF1,enzyme,enzyme
TRIM33,enzyme,enzyme
ADAM22,enzyme,enzyme
RRM2,enzyme,enzyme
PTPN1,enzyme,enzyme
PRKD1,enzyme,enzyme
FAAH2,enzyme,enzyme
CFD,enzyme,enzyme
SPTLC1,enzyme,enzyme
PAH,enzyme,enzyme
C9orf3,enzyme,enzyme
IMPDH2,enzyme,enzyme
NOX3,enzyme,enzyme
PIP5K1C,enzyme,enzyme
TMPRSS2,enzyme,enzyme
SIRT7,enzyme,enzyme
MMP26,enzyme,enzyme
KMT2A,enzyme;transcription_factor,enzyme
RNF2,enzyme,enzyme
SPTLC2,enzyme,enzyme
PRKCZ,enzyme,enzyme
ABAT,enzyme,enzyme
PDE10A,enzyme,enzyme
CPXM1,enzyme,enzyme
KYAT1,enzyme,enzyme
JMJD1C,enzyme,enzyme
MMP19,enzyme,enzyme
MMP8,enzyme,enzyme
PRKG1,enzyme,enzyme
PRKCH,enzyme,enzyme
AMD1,enzyme,enzyme
PDIK1L,enzyme,enzyme
EGLN1,enzyme,enzyme
ENTPD1,enzyme,enzyme
PAFAH2,enzyme,enzyme
MAP4K3,enzyme,enzyme
CYP27B1,enzyme,enzyme
MVD,enzyme,enzyme
CYP39A1,enzyme,enzyme
CPQ,enzyme,enzyme
CYP11B1,enzyme,enzyme
DDAH1,enzyme,enzyme
F2,enzyme,enzyme
PCCB,enzyme,enzyme
PLCD4,enzyme,enzyme
CYP2D6,enzyme,enzyme
LTC4S,enzyme,enzyme
TH,enzyme,enzyme
DNPEP,enzyme,enzyme
GGCT,enzyme,enzyme
CSNK1D,enzyme,enzyme
EHMT1,enzyme,enzyme
KDM3B,enzyme,enzyme
EIF2AK2,enzyme,enzyme
PSMB6,enzyme,enzyme
ACER3,enzyme,enzyme
PNCK,enzyme,enzyme
TRIM38,enzyme,enzyme
ALOX12B,enzyme,enzyme
ADAMTS16,enzyme,enzyme
HECA,enzyme,enzyme
CAT,enzyme,enzyme
PI4KB,enzyme,enzyme
RPS6KA4,enzyme,enzyme
PIK3C2B,enzyme,enzyme
PLCE1,enzyme,enzyme
ADAMTS7,enzyme,enzyme
CPOX,enzyme,enzyme
TWF2,enzyme,enzyme
SPTLC3,enzyme,enzyme
PDE1A,enzyme,enzyme
CYP4F2,enzyme,enzyme
HDAC2,enzyme,enzyme
SYNJ1,enzyme,enzyme
CTSB,enzyme,enzyme
RPS6KA6,enzyme,enzyme
PTGS2,enzyme,enzyme
TRIM24,enzyme,enzyme
MMP12,enzyme,enzyme
ABHD6,enzyme,enzyme
SETD1A,enzyme,enzyme
ITPKC,enzyme,enzyme
PODXL,enzyme,enzyme
LPIN2,enzyme,enzyme
INPP5B,enzyme,enzyme
KLKB1,enzyme,enzyme
CERS6,enzyme,enzyme
CYP4F11,enzyme,enzyme
PKM,enzyme,enzyme
DPP7,enzyme,enzyme
EGLN3,enzyme,enzyme
ADCY1,enzyme,enzyme
CYP2U1,enzyme,enzyme
HMOX1,enzyme,enzyme
AZIN2,enzyme,enzyme
SIRT2,enzyme,enzyme
USP14,enzyme,enzyme
DPEP2,enzyme,enzyme
PRKD2,enzyme,enzyme
IDO1,enzyme,enzyme
KDM5B,enzyme;transcription_factor,enzyme
ADCY2,enzyme,enzyme
PDE4C,enzyme,enzyme
CYP4F3,enzyme,enzyme
CTSV,enzyme,enzyme
ARG2,enzyme,enzyme
DUOX2,enzyme,enzyme
PLA2G2A,enzyme,enzyme
PTGIS,enzyme,enzyme
RAPGEF3,enzyme,enzyme
STK32B,enzyme,enzyme
PRKD3,enzyme,enzyme
RPS6KB2,enzyme,enzyme
STK32C,enzyme,enzyme
FNTB,enzyme,enzyme
PSKH1,enzyme,enzyme
CYP1A2,enzyme,enzyme
CYP7A1,enzyme,enzyme
CYP2A6,enzyme,enzyme
ZNF160,enzyme;transcription_factor,enzyme
SGMS2,enzyme,enzyme
KMO,enzyme,enzyme
STKLD1,enzyme,enzyme
CAMKK1,enzyme,enzyme
PRKAR2A,enzyme,enzyme
STK19,enzyme,enzyme
CSNK1G2,enzyme,enzyme
CYP1B1,enzyme,enzyme
NSD1,enzyme,enzyme
MMP28,enzyme,enzyme
ADAM15,enzyme,enzyme
CTSF,enzyme,enzyme
TOP1MT,enzyme,enzyme
KDM4D,enzyme,enzyme
MAP4K1,enzyme,enzyme
DAGLB,enzyme,enzyme
AEBP1,enzyme;transcription_factor,enzyme
FAP,enzyme,enzyme
MAP3K19,enzyme,enzyme
MAP3K12,enzyme,enzyme
PRMT9,enzyme,enzyme
ALOX15B,enzyme,enzyme
HDAC11,enzyme,enzyme
PIK3R3,enzyme,enzyme
CPB1,enzyme,enzyme
TRHDE,enzyme,enzyme
MMP1,enzyme,enzyme
CYP17A1,enzyme,enzyme
CYP27A1,enzyme,enzyme
RNPEP,enzyme,enzyme
SPHK1,enzyme,enzyme
PRPF4B,enzyme,enzyme
SIRT5,enzyme,enzyme
CYP4X1,enzyme,enzyme
CPA1,enzyme,enzyme
KDM8,enzyme,enzyme
PCSK6,enzyme,enzyme
FBXO11,enzyme,enzyme
PDE4B,enzyme,enzyme
CA14,enzyme,enzyme
CMA1,enzyme,enzyme
GAD1,enzyme,enzyme
NRAS,enzyme,enzyme
ADAM33,enzyme,enzyme
ENPEP,enzyme,enzyme
SPTSSB,enzyme,enzyme
ADAMTS12,enzyme,enzyme
CAMK2A,enzyme,enzyme
DEGS1,enzyme,enzyme
HDAC7,enzyme,enzyme
MMP25,enzyme,enzyme
MMP7,enzyme,enzyme
DPEP1,enzyme,enzyme
GZMB,enzyme,enzyme
MAPK8,enzyme,enzyme
PRSS3,enzyme,enzyme
KMT2E,enzyme,enzyme
PLAT,enzyme,enzyme
CYP4Z1,enzyme,enzyme
PLCB3,enzyme,enzyme
KLK2,enzyme,enzyme
NT5C,enzyme,enzyme
FDFT1,enzyme,enzyme
CYP26B1,enzyme,enzyme
DPP9,enzyme,enzyme
PDE1B,enzyme,enzyme
PLA2G4F,enzyme,enzyme
SETDB2,enzyme;transcription_factor,enzyme
PLPP1,enzyme,enzyme
PCSK9,enzyme,enzyme
CYP2W1,enzyme,enzyme
METAP2,enzyme,enzyme
CTSK,enzyme,enzyme
CASP4,enzyme,enzyme
MAOA,enzyme,enzyme
PIK3C3,enzyme,enzyme
CASP5,enzyme,enzyme
KDM2A,enzyme;transcription_factor,enzyme
CERS2,enzyme,enzyme
CSNK1A1L,enzyme,enzyme
DNMT1,enzyme;transcription_factor,enzyme
NOX4,enzyme,enzyme
CSNK1G1,enzyme,enzyme
CSNK1G3,enzyme,enzyme
HDAC1,enzyme,enzyme
CA13,enzyme,enzyme
GLS2,enzyme,enzyme
PADI1,enzyme,enzyme
KDM1B,enzyme,enzyme
FBXO10,enzyme,enzyme
DSTYK,enzyme,enzyme
PRDM2,enzyme;transcription_factor,enzyme
MAPK15,enzyme,enzyme
CBR1,enzyme,enzyme
SLC25A21,enzyme;transporter,enzyme
CERK,enzyme,enzyme
ADAMTS10,enzyme,enzyme
INPP5D,enzyme,enzyme
HDAC4,enzyme,enzyme
CYP24A1,enzyme,enzyme
MAPK10,enzyme,enzyme
ALOX5,enzyme,enzyme
SETD1B,enzyme,enzyme
PLCD1,enzyme,enzyme
SMYD2,enzyme,enzyme
CYP4V2,enzyme,enzyme
ADAMTS5,enzyme,enzyme
PLPP3,enzyme,enzyme
CTSH,enzyme,enzyme
CPZ,enzyme,enzyme
MAP2K3,enzyme,enzyme
CYP2C9,enzyme,enzyme
KMT5A,enzyme,enzyme
PGC,enzyme,enzyme
SGPP1,enzyme,enzyme
CPA4,enzyme,enzyme
PSMB9,enzyme,enzyme
SETDB1,enzyme;transcription_factor,enzyme
CASK,enzyme,enzyme
CES1,enzyme,enzyme
SIRT6,enzyme,enzyme
ADAM12,enzyme,enzyme
AMY2A,enzyme,enzyme
USP5,enzyme,enzyme
MMP2,enzyme,enzyme
USP2,enzyme,enzyme
CERS4,enzyme,enzyme
PPY,cytokine;enzyme,enzyme
ADAMTS15,enzyme,enzyme
PIP4K2B,enzyme,enzyme
PTGS1,enzyme,enzyme
GAD2,enzyme,enzyme
KLK4,enzyme,enzyme
PROC,enzyme,enzyme
HPGDS,enzyme,enzyme
MAPKAPK3,enzyme,enzyme
TOP1,enzyme,enzyme
CYP4F8,enzyme,enzyme
NCOA2,enzyme;transcription_factor,enzyme
PSMB8,enzyme,enzyme
CYP2B6,enzyme,enzyme
HDAC5,enzyme,enzyme
MAP3K5,enzyme,enzyme
NT5M,enzyme,enzyme
PTGES,enzyme,enzyme
MMP9,enzyme,enzyme
ASPG,enzyme,enzyme
RPS6KA5,enzyme,enzyme
HSD11B1,enzyme,enzyme
RPS6KA1,enzyme,enzyme
CYP2S1,enzyme,enzyme
JMJD6,enzyme,enzyme
LTA4H,enzyme,enzyme
PLCB4,enzyme,enzyme
SPHK2,enzyme,enzyme
ADAMTS19,enzyme,enzyme
ACE,enzyme,enzyme
CDK11A,enzyme,enzyme
IDI1,enzyme,enzyme
MAP3K14,enzyme,enzyme
MASTL,enzyme,enzyme
CYP4F22,enzyme,enzyme
TTN,enzyme,enzyme
MAPK6,enzyme,enzyme
ADAMTS9,enzyme,enzyme
ACER2,enzyme,enzyme
MAOB,enzyme,enzyme
CPA5,enzyme,enzyme
HPGD,enzyme,enzyme
OTULIN,enzyme,enzyme
EHMT2,enzyme,enzyme
PLG,enzyme,enzyme
IYD,enzyme,enzyme
ADAMTS6,enzyme,enzyme
IMPA1,enzyme,enzyme
GAA,enzyme,enzyme
GZMK,enzyme,enzyme
CAMKK2,enzyme,enzyme
CTSA,enzyme,enzyme
C1S,enzyme,enzyme
LIPG,enzyme,enzyme
MAP3K6,enzyme,enzyme
KLK14,enzyme,enzyme
BCKDK,enzyme,enzyme
CARM1,enzyme,enzyme
SQLE,enzyme,enzyme
HDAC9,enzyme,enzyme
KDM4C,enzyme,enzyme
PRKAG2,enzyme,enzyme
SUV39H1,enzyme,enzyme
PRKAR2B,enzyme,enzyme
MAPK13,enzyme,enzyme
PLCH1,enzyme,enzyme
PTGDS,enzyme,enzyme
CERS5,enzyme,enzyme
GRK3,enzyme,enzyme
TSSK1B,enzyme,enzyme
MAPK7,enzyme,enzyme
RAPGEF4,enzyme,enzyme
KDM6B,enzyme,enzyme
CYP46A1,enzyme,enzyme
KDM4B,enzyme,enzyme
CTSD,enzyme,enzyme
MAP2K5,enzyme,enzyme
INPP1,enzyme,enzyme
ADCY9,enzyme,enzyme
PIP5K1A,enzyme,enzyme
PLA2G4E,enzyme,enzyme
CAMK2D,enzyme,enzyme
MMP27,enzyme,enzyme
PRMT6,enzyme,enzyme
CYP2C19,enzyme,enzyme
ASAH1,enzyme,enzyme
CFB,enzyme,enzyme
PCSK7,enzyme,enzyme
CTSZ,enzyme,enzyme
NSMAF,enzyme,enzyme
KLK5,enzyme,enzyme
RPS6KA3,enzyme,enzyme
LGMN,enzyme,enzyme
NAAA,enzyme,enzyme
PARP2,enzyme,enzyme
RPS6KB1,enzyme,enzyme
DYRK1B,enzyme,enzyme
SPTSSA,enzyme,enzyme
SIRT1,enzyme,enzyme
MPO,enzyme,enzyme
BRD9,enzyme,enzyme
PEPD,enzyme,enzyme
CYP3A7,enzyme,enzyme
DPP3,enzyme,enzyme
MAP3K8,enzyme,enzyme
PIK3R6,enzyme,enzyme
ADK,enzyme,enzyme
TNNI3K,enzyme,enzyme
CYP2C8,enzyme,enzyme
PRMT2,enzyme,enzyme
CAMK1G,enzyme,enzyme
ADAM20,enzyme,enzyme
CTSL,enzyme,enzyme
MAPK4,enzyme,enzyme
NCOA3,enzyme;transcription_factor,enzyme
PARP1,enzyme,enzyme
KAT6B,enzyme,enzyme
STK32A,enzyme,enzyme
MAP3K2,enzyme,enzyme
PI4KA,enzyme,enzyme
FNTA,enzyme,enzyme
TP53RK,enzyme,enzyme
PLCZ1,enzyme,enzyme
PLA2G2F,enzyme,enzyme
PDE6D,enzyme,enzyme
PRKG2,enzyme,enzyme
SIRT4,enzyme,enzyme
PRMT8,enzyme,enzyme
RBBP9,enzyme,enzyme
SFI1,enzyme,enzyme
ADAM10,enzyme,enzyme
PSMB5,enzyme,enzyme
ADAM7,enzyme,enzyme
BRD7,enzyme,enzyme
LAP3,enzyme,enzyme
AKR1B1,enzyme,enzyme
STK17B,enzyme,enzyme
PADI3,enzyme,enzyme
ASAH2B,enzyme,enzyme
ADAM2,enzyme,enzyme
PIK3R2,enzyme,enzyme
RRM2B,enzyme,enzyme
NT5C3A,enzyme,enzyme
UCHL1,enzyme,enzyme
PRKACB,enzyme,enzyme
ALOXE3,enzyme,enzyme
MAPK12,enzyme,enzyme
EZH2,enzyme,enzyme
CAMK4,enzyme,enzyme
ADAM30,enzyme,enzyme
CHAT,enzyme,enzyme
PLA2G3,enzyme,enzyme
CPVL,enzyme,enzyme
F7,enzyme,enzyme
CYBB,enzyme,enzyme
PTGES3,enzyme,enzyme
ECE2,enzyme,enzyme
KMT2D,enzyme,enzyme
AOAH,enzyme,enzyme
PIK3C2A,enzyme,enzyme
KDM4E,enzyme,enzyme
MAP2K6,enzyme,enzyme
PHF2,enzyme,enzyme
HMGCS2,enzyme,enzyme
CEL,enzyme,enzyme
PRTN3,enzyme,enzyme
F9,enzyme,enzyme
CASP7,enzyme,enzyme
MAP3K20,enzyme,enzyme
ATAD2B,enzyme,enzyme
ERAP1,enzyme,enzyme
FASN,enzyme,enzyme
GUCY1B1,catalytic_receptor;enzyme,enzyme
HMOX2,enzyme,enzyme
PGA5,enzyme,enzyme
PTEN,enzyme,enzyme
TAF1L,enzyme,enzyme
PNLIP,enzyme,enzyme
XPNPEP2,enzyme,enzyme
INPP5K,enzyme,enzyme
MMP20,enzyme,enzyme
ECE1,enzyme,enzyme
PIK3CG,enzyme,enzyme
NOX5,enzyme,enzyme
CAMK2B,enzyme,enzyme
CASP14,enzyme,enzyme
EPHX2,enzyme,enzyme
CLOCK,enzyme;transcription_factor,enzyme
HOMER2,enzyme,enzyme
CYP1A1,enzyme,enzyme
PLPP2,enzyme,enzyme
NT5E,enzyme,enzyme
PDE6H,enzyme,enzyme
PRKCI,enzyme,enzyme
XPNPEP3,enzyme,enzyme
DPP4,enzyme,enzyme
MGLL,enzyme,enzyme
CYP3A43,enzyme,enzyme
LIPE,enzyme,enzyme
STRADB,enzyme,enzyme
ENTPD2,enzyme,enzyme
TRIM21,enzyme,enzyme
QPCT,enzyme,enzyme
LPIN1,enzyme,enzyme
SMPD4,enzyme,enzyme
HPD,enzyme,enzyme
PDE8A,enzyme,enzyme
PRSS2,enzyme,enzyme
CASP10,enzyme,enzyme
TPP2,enzyme,enzyme
GGPS1,enzyme,enzyme
PLD2,enzyme,enzyme
ENPP2,enzyme,enzyme
PIKFYVE,enzyme,enzyme
CAMK1,enzyme,enzyme
IDE,enzyme,enzyme
AOC3,enzyme,enzyme
DUOX1,enzyme,enzyme
INPPL1,enzyme,enzyme
STK17A,enzyme,enzyme
BRD2,enzyme,enzyme
BCHE,enzyme,enzyme
PDE5A,enzyme,enzyme
KDM5D,enzyme,enzyme
PLCG1,enzyme,enzyme
PIK3R4,enzyme,enzyme
LNPEP,enzyme,enzyme
CYP4F12,enzyme,enzyme
CDC42BPG,enzyme,enzyme
SUV39H2,enzyme,enzyme
CSNK1E,enzyme,enzyme
OCRL,enzyme,enzyme
RRM1,enzyme,enzyme
CPE,enzyme,enzyme
MMP3,enzyme,enzyme
HMGCR,enzyme,enzyme
ACER1,enzyme,enzyme
ADAM28,enzyme,enzyme
ADAM32,enzyme,enzyme
CDK11B,enzyme,enzyme
PLA2G5,enzyme,enzyme
PDE6C,enzyme,enzyme
CSNK2A2,enzyme,enzyme
DIO1,enzyme,enzyme
ITPKA,enzyme,enzyme
PDE9A,enzyme,enzyme
AKR1C3,enzyme,enzyme
GRK2,enzyme,enzyme
TPSAB1,enzyme,enzyme
BCR,enzyme,enzyme
PI4K2B,enzyme,enzyme
ALDH9A1,enzyme,enzyme
PLCD3,enzyme,enzyme
SLC25A53,transporter,transporter
ATP8B4,transporter,transporter
SLC6A18,transporter,transporter
SLC6A7,transporter,transporter
SLCO6A1,transporter,transporter
SLC10A7,transporter,transporter
ABCG5,transporter,transporter
SLC13A2,transporter,transporter
SLC45A1,transporter,transporter
SLCO5A1,transporter,transporter
MFSD2B,transporter,transporter
SLC27A2,transporter,transporter
SLCO3A1,transporter,transporter
SLC16A8,transporter,transporter
SLC25A26,transporter,transporter
ABCA10,transporter,transporter
SLC25A23,transporter,transporter
SLC4A5,transporter,transporter
SLC9A9,transporter,transporter
ABCA6,transporter,transporter
SLC44A2,transporter,transporter
SLC25A35,transporter,transporter
SLC27A5,transporter,transporter
SLC25A48,transporter,transporter
SLC24A1,transporter,transporter
SLC12A3,transporter,transporter
ABCB9,transporter,transporter
SLC22A24,transporter,transporter
SLC45A4,transporter,transporter
SLC26A9,transporter,transporter
SLC6A14,transporter,transporter
LETM2,transporter,transporter
SLC26A8,transporter,transporter
ATP11B,transporter,transporter
SLC19A2,transporter,transporter
SLC7A2,transporter,transporter
ABCC10,transporter,transporter
SLC25A36,transporter,transporter
ATP1B1,transporter,transporter
SLC17A1,transporter,transporter
ATP4A,transporter,transporter
SLC29A1,transporter,transporter
FXYD2,transporter,transporter
SLC6A19,transporter,transporter
ABCA8,transporter,transporter
SLC15A3,transporter,transporter
SLC4A10,transporter,transporter
SLC38A10,transporter,transporter
SLC27A4,transporter,transporter
MPC1,transporter,transporter
SLC8A3,transporter,transporter
SLC36A2,transporter,transporter
SLC39A6,transporter,transporter
ATP2C1,transporter,transporter
SLC43A1,transporter,transporter
ABCB11,transporter,transporter
SLC4A11,transporter,transporter
SLC22A23,transporter,transporter
SLC1A6,transporter,transporter
SLC7A10,transporter,transporter
SLC30A8,transporter,transporter
SLC43A2,transporter,transporter
ABCC8,transporter,transporter
SLC15A1,transporter,transporter
UCP2,transporter,transporter
SLC25A39,transporter,transporter
SLC35D1,transporter,transporter
SLC35D2,transporter,transporter
SLC17A8,transporter,transporter
SLC38A8,transporter,transporter
SLC16A13,transporter,transporter
ATP5PD,transporter,transporter
SLC16A1,transporter,transporter
ATP6V1B1,transporter,transporter
ATP6V0D1,transporter,transporter
ANKH,transporter,transporter
SLC39A1,transporter,transporter
SLC7A11,transporter,transporter
SLC5A10,transporter,transporter
ATP6V1D,transporter,transporter
MFSD5,transporter,transporter
SLC16A9,transporter,transporter
SLC17A9,transporter,transporter
SLC32A1,transporter,transporter
SLC30A2,transporter,transporter
SLC25A10,transporter,transporter
SLC33A1,transporter,transporter
SLC37A4,transporter,transporter
SLC7A4,transporter,transporter
ATP1A3,transporter,transporter
SLC22A5,transporter,transporter
ATP5PF,transporter,transporter
ATP1A1,transporter,transporter
SLC8A2,transporter,transporter
SLC35B2,transporter,transporter
SLC35A5,transporter,transporter
SLC2A8,transporter,transporter
SLC31A1,transporter,transporter
ATP2B2,transporter,transporter
ATP8A1,transporter,transporter
SLC2A13,transporter,transporter
SLC14A1,transporter,transporter
SLC39A12,transporter,transporter
SLC6A6,transporter,transporter
SLC25A19,transporter,transporter
ATP6V1G1,transporter,transporter
SLC28A3,transporter,transporter
ABCA7,transporter,transporter
SLC6A4,transporter,transporter
SLC4A2,transporter,transporter
SLC25A20,transporter,transporter
MTCH1,transporter,transporter
SLC10A2,transporter,transporter
SLC18A3,transporter,transporter
SLC22A12,transporter,transporter
SLC9A1,transporter,transporter
SLC25A31,transporter,transporter
SLC2A1,transporter,transporter
SLC1A7,transporter,transporter
SLC26A4,transporter,transporter
SLC6A16,transporter,transporter
SLC27A1,transporter,transporter
SLC44A1,transporter,transporter
MFSD4B,transporter,transporter
SLC38A9,transporter,transporter
ABCB4,transporter,transporter
SLC25A38,transporter,transporter
SLC19A1,transporter,transporter
ATP2A3,transporter,transporter
SLC26A5,transporter,transporter
SLC17A5,transporter,transporter
SLC15A4,transporter,transporter
SLC39A14,transporter,transporter
SLC8A1,transporter,transporter
SLC25A16,transporter,transporter
SLC38A1,transporter,transporter
SLC25A27,transporter,transporter
SLC4A9,transporter,transporter
SLC26A11,transporter,transporter
SLC9C1,transporter,transporter
ATP10B,transporter,transporter
ATP5MGL,transporter,transporter
SLC41A3,transporter,transporter
SLCO1B1,transporter,transporter
SLC12A2,transporter,transporter
SLC48A1,transporter,transporter
SLC35F5,transporter,transporter
SLC25A18,transporter,transporter
SLC25A34,transporter,transporter
SLC25A43,transporter,transporter
ATP9A,transporter,transporter
SLC24A5,transporter,transporter
NIPAL2,transporter,transporter
ATP2A1,transporter,transporter
SLC9B2,transporter,transporter
SLC50A1,transporter,transporter
SLC22A7,transporter,transporter
SLC5A1,transporter,transporter
SLC39A10,transporter,transporter
SLC25A4,transporter,transporter
SLC35C1,transporter,transporter
SLC36A3,transporter,transporter
SLC45A2,transporter,transporter
SLC16A3,transporter,transporter
SLC5A2,transporter,transporter
SLC46A2,transporter,transporter
SLCO2A1,transporter,transporter
SLC20A1,transporter,transporter
MFSD4A,transporter,transporter
ATP6V1G3,transporter,transporter
RHBG,transporter,transporter
SLC35E1,transporter,transporter
SPNS1,transporter,transporter
ATP5PB,transporter,transporter
SLC35A1,transporter,transporter
SLC25A25,transporter,transporter
SLCO1A2,transporter,transporter
SLC26A2,transporter,transporter
SLC34A3,transporter,transporter
SLC22A25,transporter,transporter
SLC25A12,transporter,transporter
SLC30A3,transporter,transporter
SLC3A2,transporter,transporter
SPNS3,transporter,transporter
RHCG,transporter,transporter
SLC35F1,transporter,transporter
SLC26A3,transporter,transporter
SLC25A42,transporter,transporter
ATP2B3,transporter,transporter
SLC2A3,transporter,transporter
SLC12A1,transporter,transporter
ATP6V0E1,transporter,transporter
ABCD1,transporter,transporter
SLC2A10,transporter,transporter
SLC27A6,transporter,transporter
SLC2A4,transporter,transporter
SLC39A7,transporter,transporter
SLC9C2,transporter,transporter
SLC17A4,transporter,transporter
ABCB1,transporter,transporter
ATP9B,transporter,transporter
SLC29A2,transporter,transporter
NIPAL3,transporter,transporter
SLC7A6,transporter,transporter
SLC25A37,transporter,transporter
SLC6A5,transporter,transporter
SLC22A13,transporter,transporter
SLC9A7,transporter,transporter
SLC49A4,transporter,transporter
SLC10A5,transporter,transporter
ABCC4,transporter,transporter
SLC35G1,transporter,transporter
SLC6A8,transporter,transporter
SLC25A1,transporter,transporter
SLC22A4,transporter,transporter
ABCB5,transporter,transporter
SLC5A7,transporter,transporter
NPC1,transporter,transporter
ATP1A2,transporter,transporter
SLC9A8,transporter,transporter
SLC25A52,transporter,transporter
SLC34A2,transporter,transporter
SLC38A6,transporter,transporter
ATP6V0B,transporter,transporter
SLC51B,transporter,transporter
SLC47A1,transporter,transporter
SLC35G4,transporter,transporter
ABCC1,transporter,transporter
ATP5F1C,transporter,transporter
SLCO4A1,transporter,transporter
SLC6A15,transporter,transporter
SLC25A6,transporter,transporter
SLC35B4,transporter,transporter
SLC3A1,transporter,transporter
SLC14A2,transporter,transporter
ATP5F1E,transporter,transporter
SLC9A5,transporter,transporter
SFXN3,transporter,transporter
ATP5F1A,transporter,transporter
SLC5A3,transporter,transporter
SLC2A7,transporter,transporter
SLC10A1,transporter,transporter
SLC35G5,transporter,transporter
SLC12A9,transporter,transporter
SLC18A2,transporter,transporter
SLC12A8,transporter,transporter
SLC38A3,transporter,transporter
ABCC5,transporter,transporter
ABCG4,transporter,transporter
SLC30A5,transporter,transporter
SLC17A3,transporter,transporter
SLC25A41,transporter,transporter
SLC22A31,transporter,transporter
SLC1A2,transporter,transporter
SLC30A1,transporter,transporter
ATP5MC1|ATP5MC2|ATP5MC3,transporter,transporter
SLC7A5,transporter,transporter
TMEM165,transporter,transporter
SLC22A11,transporter,transporter
SFXN2,transporter,transporter
ABCA13,transporter,transporter
SLC17A6,transporter,transporter
SLC35G2,transporter,transporter
SLC22A16,transporter,transporter
SLC24A2,transporter,transporter
SLC30A4,transporter,transporter
SLC6A1,transporter,transporter
ATP5F1B,transporter,transporter
