gene,protein_classes,primary_class
FGFR4,catalytic_receptor;kinase,kinase
TAOK1,kinase,kinase
PRKX,kinase,kinase
NEK6,kinase,kinase
KIT,catalytic_receptor;kinase,kinase
RIOK1,kinase,kinase
DCLK2,kinase,kinase
BMP2K,kinase,kinase
TSSK6,kinase,kinase
MOK,kinase,kinase
PXK,kinase,kinase
SERPINA2,kinase,kinase
CDKL2,kinase,kinase
NRBP2,kinase,kinase
MYLK3,kinase,kinase
TNK1,kinase,kinase
BLK,kinase,kinase
SRPK1,kinase,kinase
LCK,kinase,kinase
VRK1,kinase,kinase
CDK6,kinase,kinase
AURKA,kinase,kinase
FGFR2,catalytic_receptor;kinase,kinase
NUAK2,kinase,kinase
AMHR2,catalytic_receptor;kinase,kinase
NTRK1,catalytic_receptor;kinase,kinase
WNK4,kinase,kinase
FRK,kinase,kinase
ROCK1,kinase,kinase
SCYL2,kinase,kinase
LMTK2,catalytic_receptor;kinase,kinase
STK4,kinase,kinase
CLK3,kinase,kinase
SBK1,kinase,kinase
NTRK2,catalytic_receptor;kinase,kinase
IRAK2,kinase,kinase
UHMK1,kinase,kinase
EPHB2,catalytic_receptor;kinase,kinase
PBK,kinase,kinase
GSK3A,kinase,kinase
GSK3B,kinase,kinase
TTK,kinase,kinase
PDPK1,kinase,kinase
CDC42BPA,kinase,kinase
RIPK1,kinase,kinase
SRC,kinase,kinase
STK40,kinase,kinase
PKN2,kinase,kinase
WNK2,kinase,kinase
SIK2,kinase,kinase
HUNK,kinase,kinase
EPHA3,catalytic_receptor;kinase,kinase
CLK2,kinase,kinase
CDK13,kinase,kinase
MTOR,kinase,kinase
CDK15,kinase,kinase
IKBKB,kinase,kinase
PTK2,kinase,kinase
MELK,kinase,kinase
STK36,kinase,kinase
MAST1,kinase,kinase
MYO3A,kinase,kinase
STK25,kinase,kinase
WEE1,kinase,kinase
ITGAL,catalytic_receptor;kinase,kinase
RIPK4,kinase,kinase
MAPK1,kinase,kinase
MAK,kinase,kinase
PKN1,kinase,kinase
MATK,kinase,kinase
PIM3,kinase,kinase
TBK1,kinase,kinase
NEK5,kinase,kinase
EPHA6,catalytic_receptor;kinase,kinase
STK16,kinase,kinase
MINK1,kinase,kinase
TTBK1,kinase,kinase
ALPK2,kinase,kinase
CDK9,kinase,kinase
VRK3,kinase,kinase
PAN3,kinase,kinase
SRPK3,kinase,kinase
ALK,catalytic_receptor;kinase,kinase
NRK,kinase,kinase
MARK3,kinase,kinase
FYN,kinase,kinase
KSR1,kinase,kinase
HIPK4,kinase,kinase
AURKC,kinase,kinase
FGFR1,catalytic_receptor;kinase,kinase
CDK18,kinase,kinase
MARK4,kinase,kinase
MYLK,kinase,kinase
CDK19,kinase,kinase
RIOK3,kinase,kinase
TYRO3,catalytic_receptor;kinase,kinase
PTK6,kinase,kinase
SCYL1,kinase,kinase
SGK1,kinase,kinase
AAK1,kinase,kinase
MAST3,kinase,kinase
MAPK3,kinase,kinase
NEK8,kinase,kinase
MARK1,kinase,kinase
CSK,kinase,kinase
AKT2,kinase,kinase
TSSK4,kinase,kinase
ROS1,catalytic_receptor;kinase,kinase
NPY5R,GPCR,GPCR
GPR17,GPCR,GPCR
OR4S1,GPCR,GPCR
TAS1R1,GPCR,GPCR
MCHR2,GPCR,GPCR
OR8D1,GPCR,GPCR
P2RY14,GPCR,GPCR
OR5AR1,GPCR,GPCR
DRD3,GPCR,GPCR
OR4C45,GPCR,GPCR
S1PR3,GPCR,GPCR
CCR5,GPCR;cytokine_receptor,GPCR
OR1L3,GPCR,GPCR
GPR119,GPCR,GPCR
ADGRL1,GPCR,GPCR
ADRA1D,GPCR,GPCR
CNOT6,GPCR,GPCR
HTR1E,GPCR,GPCR
OR10Z1,GPCR,GPCR
PTGER4,GPCR,GPCR
OR2B2,GPCR,GPCR
OR8A1,GPCR,GPCR
OR8B2,GPCR,GPCR
P2RY2,GPCR,GPCR
OR4D10,GPCR,GPCR
OR13C2,GPCR,GPCR
OR2L13,GPCR,GPCR
OR14I1,GPCR,GPCR
OR1C1,GPCR,GPCR
ADGRA3,GPCR,GPCR
GPR50,GPCR,GPCR
BDKRB1,GPCR,GPCR
MAGEC3,GPCR,GPCR
SSTR4,GPCR,GPCR
OPRD1,GPCR,GPCR
OR1S1,GPCR,GPCR
OR52E2,GPCR,GPCR
TAS2R8,GPCR,GPCR
BRS3,GPCR,GPCR
GPR182,GPCR,GPCR
GPR25,GPCR,GPCR
FZD1,GPCR,GPCR
HRH4,GPCR,GPCR
ADRA2A,GPCR,GPCR
GPR156,GPCR,GPCR
PROKR2,GPCR,GPCR
GPR141,GPCR,GPCR
OXTR,GPCR,GPCR
NPFFR1,GPCR,GPCR
GPRC5D,GPCR,GPCR
OR10G3,GPCR,GPCR
OR5M11,GPCR,GPCR
OR1P1,GPCR,GPCR
